"","event_no","duration","date_start","date_peak","intensity_max","intensity_cumulative","EPU"
"1",1,6,1982-01-01,1982-01-01,1.4551,8.4527,"GOM"
"2",2,30,1982-01-29,1982-02-24,1.7192,42.8149,"GOM"
"3",3,8,1982-03-24,1982-03-26,1.7664,13.0104,"GOM"
"4",4,8,1982-05-02,1982-05-06,2.0881,13.2107,"GOM"
"5",5,10,1982-05-21,1982-05-25,2.659,20.5539,"GOM"
"6",6,165,1982-10-31,1982-11-04,2.4895,297.1225,"GOM"
"7",7,17,1983-04-23,1983-05-06,2.5119,29.8949,"GOM"
"8",8,8,1983-06-18,1983-06-20,2.9986,20.7338,"GOM"
"9",9,16,1983-10-01,1983-10-04,2.0828,23.2625,"GOM"
"10",10,27,1983-11-04,1983-11-11,2.4134,37.1463,"GOM"
"11",11,5,1983-12-06,1983-12-07,1.3315,6.4517,"GOM"
"12",12,11,1983-12-14,1983-12-16,1.7736,17.1241,"GOM"
"13",13,53,1984-01-26,1984-02-27,2.6269,82.133,"GOM"
"14",14,15,1984-03-24,1984-03-31,1.8611,23.6546,"GOM"
"15",15,7,1984-08-13,1984-08-15,2.5045,13.7765,"GOM"
"16",16,81,1984-10-26,1984-12-21,2.5427,141.0314,"GOM"
"17",17,72,1985-01-28,1985-03-29,1.9661,102.9813,"GOM"
"18",18,10,1985-11-18,1985-11-21,1.3794,12.1079,"GOM"
"19",19,5,1986-04-27,1986-04-28,2.6082,10.1346,"GOM"
"20",20,6,1986-05-17,1986-05-18,2.0578,10.969,"GOM"
"21",21,8,1989-06-02,1989-06-02,1.8664,13.5824,"GOM"
"22",22,6,1989-09-09,1989-09-11,2.0139,10.3584,"GOM"
"23",23,15,1990-08-05,1990-08-13,2.2038,28.5003,"GOM"
"24",24,8,1990-08-27,1990-09-01,2.3778,15.4877,"GOM"
"25",25,7,1990-10-12,1990-10-15,1.8787,10.9255,"GOM"
"26",26,11,1991-05-25,1991-05-29,2.8913,26.9325,"GOM"
"27",27,19,1994-07-17,1994-08-02,2.239,30.7473,"GOM"
"28",28,6,1999-05-08,1999-05-09,1.8967,9.5154,"GOM"
"29",29,7,1999-06-24,1999-06-26,1.8899,11.8661,"GOM"
"30",30,7,1999-07-26,1999-07-31,2.0187,12.7135,"GOM"
"31",31,14,1999-09-03,1999-09-14,2.5009,29.6491,"GOM"
"32",32,38,2006-12-24,2007-01-24,1.7633,49.9399,"GOM"
"33",33,5,2008-07-16,2008-07-20,1.6255,7.5461,"GOM"
"34",34,5,2008-07-30,2008-07-31,1.8625,8.4352,"GOM"
"35",35,10,2009-08-16,2009-08-19,2.4111,20.2434,"GOM"
"36",36,13,2010-05-24,2010-05-26,2.6573,23.4178,"GOM"
"37",37,35,2010-06-20,2010-07-07,3.8694,76.5139,"GOM"
"38",38,11,2011-09-24,2011-09-27,2.3809,19.5947,"GOM"
"39",39,10,2012-03-18,2012-03-23,2.8934,21.6086,"GOM"
"40",40,12,2012-04-16,2012-04-21,2.1527,20.3121,"GOM"
"41",41,15,2012-05-19,2012-05-20,3.458,41.8152,"GOM"
"42",42,7,2012-06-20,2012-06-22,3.0096,16.6638,"GOM"
"43",43,24,2012-06-30,2012-07-15,3.1614,54.8409,"GOM"
"44",44,24,2012-08-08,2012-08-27,2.9612,50.4593,"GOM"
"45",45,7,2012-09-23,2012-09-29,1.4143,9.3758,"GOM"
"46",46,5,2012-10-05,2012-10-06,1.5289,6.965,"GOM"
"47",47,13,2012-12-13,2012-12-15,1.5133,16.8214,"GOM"
"48",48,5,2013-04-28,2013-04-30,2.2936,9.477,"GOM"
"49",49,5,2013-05-07,2013-05-09,1.9895,8.8968,"GOM"
"50",50,10,2013-07-15,2013-07-16,3.0404,23.0458,"GOM"
"51",51,5,2014-09-02,2014-09-05,1.9611,9.1636,"GOM"
"52",52,5,2014-10-16,2014-10-18,1.5502,7.0968,"GOM"
"53",53,7,2015-08-16,2015-08-18,2.1016,12.7019,"GOM"
"54",54,9,2015-08-26,2015-08-30,2.462,20.2886,"GOM"
"55",55,5,2015-09-07,2015-09-08,2.044,8.9132,"GOM"
"56",56,5,2015-09-17,2015-09-18,2.108,8.7675,"GOM"
"57",57,13,2016-07-25,2016-07-30,2.2638,26.171,"GOM"
"58",58,5,2016-08-13,2016-08-15,2.0753,9.0597,"GOM"
"59",59,19,2016-09-06,2016-09-22,2.9047,36.2794,"GOM"
"60",60,11,2017-10-19,2017-10-23,1.7023,15.5489,"GOM"
"61",61,15,2018-07-29,2018-08-07,2.6457,28.7049,"GOM"
"62",62,13,2018-08-28,2018-08-29,2.9773,27.4464,"GOM"
"63",63,6,2018-09-14,2018-09-17,2.0356,10.8578,"GOM"
"64",64,13,2020-06-21,2020-06-27,2.3642,25.2644,"GOM"
"65",65,14,2020-07-22,2020-08-02,2.4671,27.9273,"GOM"
"66",66,8,2020-08-10,2020-08-15,2.4004,15.3937,"GOM"
"67",67,7,2021-05-17,2021-05-22,1.9695,12.7385,"GOM"
"68",68,5,2021-06-07,2021-06-10,2.0901,9.2905,"GOM"
"69",69,5,2021-06-18,2021-06-21,1.8829,8.3909,"GOM"
"70",70,7,2021-09-23,2021-09-26,1.8706,11.6839,"GOM"
"71",71,14,2021-10-06,2021-10-15,2.0658,22.2254,"GOM"
"72",72,6,2022-08-04,2022-08-07,2.3808,12.1786,"GOM"
"73",73,8,2022-08-25,2022-08-26,1.8217,13.3839,"GOM"
"74",74,6,2022-09-09,2022-09-12,1.8237,9.9263,"GOM"
"75",75,15,2022-10-31,2022-11-07,1.9023,21.2151,"GOM"
